2026-05-30 10:17:32,772 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:32,801 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:32,807 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:32,887 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:32,887 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:32,916 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:32,932 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:33,020 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:33,042 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:33,065 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:33,077 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:33,156 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:33,182 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:33,198 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:33,198 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:33,303 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:33,313 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:33,345 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:33,348 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:33,419 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:33,431 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:33,477 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:33,477 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:33,550 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:33,601 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:33,633 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:33,637 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:33,684 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:33,713 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:33,763 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:33,763 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:33,821 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:33,866 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:33,898 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:33,898 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:33,898 | CAMERA_MANAGER | INFO | c2 sent 40 frames
2026-05-30 10:17:33,943 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:33,943 | CAMERA_MANAGER | INFO | c3 sent 40 frames
2026-05-30 10:17:33,997 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:34,036 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:34,036 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:34,082 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:34,141 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:34,142 | CAMERA_MANAGER | INFO | c4 sent 40 frames
2026-05-30 10:17:34,185 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:34,193 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:34,193 | CAMERA_MANAGER | INFO | c1 sent 40 frames
2026-05-30 10:17:34,224 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:34,273 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:34,326 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:34,328 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:34,355 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:34,403 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:34,451 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:34,468 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:34,485 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:34,538 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:34,595 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:34,610 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:34,612 | CAMERA_MANAGER | INFO | Sending frame from c3
