2026-05-30 11:12:51,271 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,318 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,399 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,425 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,444 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,474 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,486 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,493 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,508 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,512 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,533 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,586 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,598 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,648 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,672 | ROI | INFO | Saved To Redis : safety_frames
2026-05-30 11:12:51,724 | ROI | INFO | Saved To Redis : safety_frames
2026-05-30 11:12:51,822 | ROI | INFO | Saved To Redis : safety_frames
2026-05-30 11:12:51,834 | ROI | INFO | Saved To Redis : safety_frames
2026-05-30 11:12:51,887 | ROI | INFO | Saved To Redis : safety_frames
2026-05-30 11:12:51,907 | ROI | INFO | Saved To Redis : safety_frames
2026-05-30 11:12:51,927 | ROI | INFO | Saved To Redis : safety_frames
2026-05-30 11:12:51,952 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,957 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,965 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,978 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:51,997 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:52,009 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:52,015 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:52,039 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:52,048 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:52,054 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:53,433 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:53,447 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:53,458 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:55,101 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:56,944 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:56,953 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:58,842 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:58,856 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:58,872 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:58,878 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:00,694 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:00,746 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:00,764 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:02,353 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:02,363 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:02,363 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:02,378 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:02,378 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:04,137 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:05,985 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:07,865 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:07,871 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:07,895 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:09,475 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:09,521 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:11,546 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:11,572 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:11,582 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:11,590 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:13,216 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:13,232 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:15,115 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:15,171 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:16,993 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:17,000 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:18,873 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:18,883 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:20,540 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:20,540 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:22,528 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:26,482 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:28,262 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:28,329 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:29,929 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:31,709 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:33,447 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:33,455 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:35,298 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:35,314 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:37,036 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:37,043 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:13:37,075 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:15:19,878 | ROI | INFO | RabbitMQ Connected
2026-05-30 11:15:19,878 | ROI | INFO | Redis Connected
2026-05-30 11:15:20,002 | ROI | INFO | Waiting For Frames...
2026-05-30 11:15:20,038 | ROI | INFO | Saved To Redis : vehicle_frames
2026-05-30 11:15:20,094 | ROI | INFO | Saved To Redis : vehicle_frames
2026-05-30 11:15:20,147 | ROI | INFO | Saved To Redis : vehicle_frames
2026-05-30 11:15:20,200 | ROI | INFO | Saved To Redis : vehicle_frames
